models
openrouter/mistralai/mistral-medium
openrouter/cognitivecomputations/dolphin-mixtral-8x7b
openrouter/google/gemini-pro-vision
openrouter/google/gemini-pro
openrouter/mistralai/mixtral-8x7b
openrouter/mistralai/mixtral-8x7b-instruct
openrouter/openchat/openchat-7b:free
openrouter/openchat/openchat-7b
openrouter/neversleep/noromaid-20b
openrouter/anthropic/claude-2:beta
openrouter/anthropic/claude-2
openrouter/anthropic/claude-2.1:beta
openrouter/anthropic/claude-2.1
openrouter/teknium/openhermes-2.5-mistral-7b
openrouter/undi95/toppy-m-7b:free
openrouter/undi95/toppy-m-7b
openrouter/alpindale/goliath-120b
openrouter/openai/gpt-3.5-turbo-1106
openrouter/openai/gpt-4-1106-preview
openrouter/google/palm-2-chat-bison-32k
openrouter/google/palm-2-codechat-bison-32k
openrouter/jondurbin/airoboros-l2-70b
openrouter/xwin-lm/xwin-lm-70b
openrouter/openai/gpt-3.5-turbo-instruct
openrouter/mistralai/mistral-7b-instruct-v0.1
openrouter/pygmalionai/mythalion-13b
openrouter/openai/gpt-3.5-turbo-16k
openrouter/openai/gpt-4-32k
openrouter/openai/gpt-4-32k-0314
openrouter/nousresearch/nous-hermes-llama2-13b
openrouter/mancer/weaver
openrouter/huggingfaceh4/zephyr-7b-beta:free
openrouter/anthropic/claude-2.0:beta
openrouter/anthropic/claude-2.0
openrouter/undi95/remm-slerp-l2-13b
openrouter/google/palm-2-chat-bison
openrouter/google/palm-2-codechat-bison
openrouter/gryphe/mythomax-l2-13b:free
openrouter/gryphe/mythomax-l2-13b
openrouter/meta-llama/llama-2-13b-chat
openrouter/meta-llama/llama-2-70b-chat
openrouter/openai/gpt-3.5-turbo
openrouter/openai/gpt-3.5-turbo-0125
openrouter/openai/gpt-4
openrouter/openai/gpt-4-0314
openrouter/inflatebot/mn-mag-mell-r1
openrouter/google/gemini-exp-1121
openrouter/google/gemini-exp-1114
openrouter/x-ai/grok-2
openrouter/x-ai/grok-2-mini
openrouter/eva-unit-01/eva-qwen-2.5-14b
openrouter/mattshumer/reflection-70b
openrouter/google/gemini-flash-1.5-exp
openrouter/lynn/soliloquy-v3
openrouter/01-ai/yi-1.5-34b-chat
openrouter/01-ai/yi-large-turbo
openrouter/01-ai/yi-large-fc
openrouter/01-ai/yi-vision
openrouter/google/gemini-pro-1.5-exp
openrouter/cognitivecomputations/dolphin-llama-3-70b
openrouter/nousresearch/hermes-2-theta-llama-3-8b
openrouter/sao10k/l3-stheno-8b
openrouter/nvidia/nemotron-4-340b-instruct
openrouter/microsoft/phi-3-medium-4k-instruct
openrouter/bigcode/starcoder2-15b-instruct
openrouter/openchat/openchat-8b
openrouter/deepseek/deepseek-coder
openrouter/perplexity/llama-3-sonar-large-32k-chat
openrouter/perplexity/llama-3-sonar-large-32k-online
openrouter/perplexity/llama-3-sonar-small-32k-chat
openrouter/perplexity/llama-3-sonar-small-32k-online
openrouter/meta-llama/llama-3-8b
openrouter/meta-llama/llama-3-70b
openrouter/liuhaotian/llava-yi-34b
openrouter/allenai/olmo-7b-instruct
openrouter/qwen/qwen-110b-chat
openrouter/qwen/qwen-72b-chat
openrouter/qwen/qwen-32b-chat
openrouter/qwen/qwen-14b-chat
openrouter/qwen/qwen-7b-chat
openrouter/qwen/qwen-4b-chat
openrouter/snowflake/snowflake-arctic-instruct
openrouter/fireworks/firellava-13b
openrouter/lynn/soliloquy-l3
openrouter/huggingfaceh4/zephyr-orpo-141b-a35b
openrouter/mistralai/mixtral-8x22b
openrouter/nousresearch/nous-hermes-2-mistral-7b-dpo
openrouter/meta-llama/codellama-70b-instruct
openrouter/recursal/eagle-7b
openrouter/01-ai/yi-34b-200k
openrouter/nousresearch/nous-hermes-2-mixtral-8x7b-sft
openrouter/austism/chronos-hermes-13b
openrouter/jondurbin/bagel-34b
openrouter/neversleep/noromaid-mixtral-8x7b-instruct
openrouter/nousresearch/nous-hermes-yi-34b
openrouter/mistralai/mistral-7b-instruct-v0.2
openrouter/rwkv/rwkv-5-world-3b
openrouter/recursal/rwkv-5-3b-ai-town
openrouter/togethercomputer/stripedhyena-nous-7b
openrouter/togethercomputer/stripedhyena-hessian-7b
openrouter/koboldai/psyfighter-13b-2
openrouter/01-ai/yi-34b-chat
openrouter/01-ai/yi-34b
openrouter/01-ai/yi-6b
openrouter/gryphe/mythomist-7b
openrouter/nousresearch/nous-hermes-2-vision-7b
openrouter/openrouter/cinematika-7b
openrouter/nousresearch/nous-capybara-7b
openrouter/jebcarter/psyfighter-13b
openrouter/intel/neural-chat-7b
openrouter/anthropic/claude-instant-1.1
openrouter/liuhaotian/llava-13b
openrouter/nousresearch/nous-capybara-34b
openrouter/openai/gpt-4-vision-preview
openrouter/lizpreciatior/lzlv-70b-fp16-hf
openrouter/openrouter/auto
openrouter/teknium/openhermes-2-mistral-7b
openrouter/open-orca/mistral-7b-openorca
openrouter/nousresearch/nous-hermes-llama2-70b
openrouter/migtissera/synthia-70b
openrouter/meta-llama/codellama-34b-instruct
openrouter/phind/phind-codellama-34b
openrouter/anthropic/claude-instant-1
openrouter/anthropic/claude-1
openrouter/anthropic/claude-1.2
openrouter/anthropic/claude-instant-1.0
openrouter/openai/shap-e
openrouter/openai/gpt-3.5-turbo-0301
